,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
5486,2/2016,493.29182094404825,6794.572100766292,2.0700000000000003,20.978893880323778,38.8188,0.0214037022388282
5487,2/2016,491.1309912086614,6771.454043166214,2.08,20.979184065159117,38.7915,0.0211061196762223
5488,2/2016,487.8297429797035,6735.569195556464,2.09,20.97933553952185,38.7471,0.0208159348408862
5489,2/2016,482.95454080854176,6682.033865960092,2.1,20.97916069350666,38.6787,0.0208393064933396
5490,2/2016,476.02127340683023,6605.346560254351,2.1100000000000003,20.97839876983969,38.5778,0.0216012301603143
5491,2/2016,466.5594378635383,6500.057131461159,2.12,20.976700594724832,38.4354,0.0232994052751678
5492,2/2016,454.223982604375,6361.976543533068,2.13,20.97361950089225,38.2429,0.0263804991077485
5493,2/2016,438.9729966624121,6190.205811842003,2.14,20.968615775819465,37.9947,0.0313842241805346
5494,2/2016,429.6353304262844,6122.489726598165,2.3725,20.96495897753177,37.8251,0.0350410224682278
5495,2/2016,418.557665182983,6031.290410411132,2.605,20.962498641798742,37.6304,0.0375013582012542
5496,2/2016,406.5855629261485,5926.943818160678,2.8375,20.961015611027424,37.4165,0.038984388972576
5497,2/2016,394.3373207909451,5817.021159437199,3.07,20.96027825327051,37.1892,0.0397217467294908
5498,2/2016,382.3467570165616,5708.500390695757,3.305,20.960121048310995,36.9555,0.0398789516890047
5499,2/2016,370.8469682397935,5603.976263119936,3.54,20.96038361511179,36.7194,0.0398789516890047
5500,2/2016,360.0792194326159,5506.6370449334745,3.775,20.96095939924041,36.4858,0.0396163848882089
5501,2/2016,350.2325034724784,5419.116336466179,4.01,20.96180179534889,36.2593,0.0390406007595913
5502,2/2016,341.3781046239747,5342.269156847426,4.2425,20.96288355575498,36.0433,0.0381982046511097
5503,2/2016,333.72240270241485,5279.499609130337,4.475,20.96427893962977,35.8435,0.0371164442450187
5504,2/2016,327.33487442849247,5232.071941824803,4.7075000000000005,20.966124099064743,35.6637,0.0357210603702249
5505,2/2016,322.1808759601365,5199.800724669824,4.94,20.968609297368904,35.5064,0.0338759009352536
5506,2/2016,315.3742586951949,5132.146618704243,5.0875,20.970489613290194,35.323,0.0313907026310964
5507,2/2016,309.30760798952605,5073.707047414713,5.235,20.97183709637088,35.1499,0.0295103867098056
5508,2/2016,303.69613115010026,5020.411624274972,5.3825,20.97274874240661,34.9847,0.0281629036291199
5509,2/2016,298.3766256226816,4969.953495597567,5.53,20.973326507884877,34.8256,0.027251257593388
5510,2/2016,293.2911466115301,4921.570596162178,5.6775,20.97366884566993,34.6722,0.0266734921151261
5511,2/2016,288.47155522160176,4875.83809840756,5.825,20.973870848816656,34.5248,0.0263311543300694
5512,2/2016,284.0252435625649,4834.476111703856,5.9725,20.97403060944822,34.3854,0.0261291511833441
5513,2/2016,280.11991400874064,4800.1379484532135,6.12,20.97425975600068,34.257,0.0259693905517792
5514,2/2016,276.9630087342829,4776.106337699241,6.2675,20.97469615776436,34.1438,0.0257402439993228
5515,2/2016,274.7691479227553,4765.788037565691,6.415,20.97551634509793,34.0508,0.0253038422356439
5516,2/2016,273.7067859512966,4771.865006466752,6.5625,20.97694418854256,33.9828,0.0244836549020703
5517,2/2016,273.8135033435404,4794.94073697567,6.71,20.97925077294376,33.9427,0.0230558114574392
5518,2/2016,271.76310849171733,4771.960528601578,6.7475000000000005,20.98083884544838,33.8692,0.0207492270562426
5519,2/2016,270.3596444822002,4758.794719191683,6.785,20.981806675523547,33.8075,0.0191611545516217
5520,2/2016,269.3302409090056,4751.051620222015,6.8225,20.982275628074003,33.7549,0.0181933244764529
5521,2/2016,268.5595338635269,4746.892185297787,6.86,20.98237092590383,33.7101,0.0177243719259969
5522,2/2016,268.0029209431851,4745.377764187987,6.8950000000000005,20.98217443038694,33.6722,0.0178255696130591
5523,2/2016,267.8887320250612,4750.394060139587,6.93,20.98181381379744,33.6452,0.0181861862025591
5524,2/2016,268.50112441471333,4766.391032072117,6.965,20.981441633651976,33.6343,0.0185583663480244
5525,2/2016,270.23659660796574,4799.498692958265,7.0,20.98125818008421,33.6474,0.0187418199157853
