,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
4696,2/2016,140.28450641419053,2475.4847218030754,-1.3325,21.28363509843897,25.8702,0.0
4697,2/2016,136.96979304203168,2419.3053967952783,-1.36,21.277901242496576,25.805,0.0
4698,2/2016,133.6622954096086,2363.164235842361,-1.3875000000000002,21.272005544729605,25.7394,0.0
4699,2/2016,130.36890850965278,2307.175374044089,-1.415,21.26594482342908,25.6735,0.0
4700,2/2016,127.03783082919288,2250.4683002572174,-1.4425,21.25971597009157,25.6066,0.0
4701,2/2016,123.701573074401,2193.5839804187526,-1.47,21.25331592502141,25.5392,0.0
4702,2/2016,121.11426732442963,2150.548063947725,-1.4725,21.246809942319757,25.4846,0.0
4703,2/2016,118.51326904269878,2107.180917728217,-1.475,21.24019574726495,25.4295,0.0
4704,2/2016,115.87345403420922,2063.0537055313566,-1.4775,21.23347106973837,25.3734,0.0
4705,2/2016,113.24549968346514,2019.02170579508,-1.48,21.22663367425577,25.3171,0.0
4706,2/2016,110.7025079676589,1976.450560231936,-1.48,21.21968823793672,25.262,0.0
4707,2/2016,108.09532193036584,1932.6761555176647,-1.48,21.212632674355888,25.2054,0.0
4708,2/2016,105.49933920700418,1888.9801116998945,-1.48,21.205464893996336,25.1487,0.0
4709,2/2016,102.91857652728888,1845.4312748135603,-1.48,21.19818289714069,25.0918,0.0
4710,2/2016,100.29314381251282,1800.999743638836,-1.48,21.19078470400689,25.0339,0.0
4711,2/2016,97.66167308486528,1756.3448579552798,-1.48,21.1832683293902,24.9755,0.0
4712,2/2016,95.04587234584676,1711.8397414687618,-1.48,21.17563185411388,24.9169,0.0
4713,2/2016,92.40746236757128,1666.8212842063472,-1.48,21.16787340235156,24.8577,0.0
4714,2/2016,92.34134401313229,1670.0102501108145,-1.39,21.160236597255768,24.8444,0.0
4715,2/2016,92.2447686400284,1672.6592250889996,-1.3,21.152721580056568,24.8307,0.0
4716,2/2016,92.11656070286776,1674.7437073252277,-1.21,21.145328406203262,24.8166,0.0
4717,2/2016,91.9619018704334,1676.3503143582925,-1.12,21.13805705257434,24.8023,0.0
4718,2/2016,91.76067031005232,1677.1221064338472,-1.03,21.1309074012076,24.7872,0.0
4719,2/2016,91.51888317924389,1677.158797098909,-0.94,21.12387922492644,24.7716,0.0
4720,2/2016,91.24450329793255,1676.5954841270025,-0.8500000000000001,21.11697220723788,24.7555,0.0
4721,2/2016,90.9462029600265,1675.5812480905547,-0.76,21.11018596496953,24.7392,0.0
4722,2/2016,90.62046886021804,1674.050374873128,-0.67,21.10352005616597,24.7224,0.0
4723,2/2016,90.26911365675042,1672.0312880577687,-0.5800000000000001,21.09697397953969,24.7053,0.0
4724,2/2016,89.88772735726045,1669.4416101637266,-0.49,21.090547172690343,24.6877,0.0
4725,2/2016,89.45770951046455,1665.943977862778,-0.4,21.084238985042283,24.6694,0.0
4726,2/2016,92.64579163813944,1732.7271593697365,-0.1775,21.07841005442872,24.7186,0.0
4727,2/2016,95.76878102113852,1798.7927211293816,0.0449999999999999,21.0730624396902,24.7677,0.0
4728,2/2016,98.8336423770646,1864.2513995196437,0.2674999999999999,21.06819802072432,24.817,0.0
4729,2/2016,101.84435075594092,1929.161315907584,0.49,21.06381851603297,24.8664,0.0
4730,2/2016,104.87601124841828,1994.9890140253544,0.715,21.059932319428697,24.9173,0.0
4731,2/2016,107.8533060460244,2060.2511502148373,0.94,21.05654092075736,24.9684,0.0
4732,2/2016,110.76306778978056,2124.6941659452227,1.165,21.05364564508012,25.0193,0.0
4733,2/2016,113.62897063561226,2188.7366960150766,1.39,21.05124766986873,25.0705,0.0
4734,2/2016,116.39168062801866,2251.149989207289,1.6124999999999998,21.049341247767256,25.1208,0.0
4735,2/2016,119.113275755268,2313.1796727906176,1.835,21.047927293883955,25.1713,0.0
4736,2/2016,121.79896541026908,2374.911479477345,2.0575,21.047006626614767,25.2222,0.0
4737,2/2016,124.44925163098016,2436.345107924195,2.28,21.04657997671716,25.2734,0.0
4738,2/2016,121.83393638182564,2389.066010938398,2.295,21.04608224234789,25.221,0.0
4739,2/2016,119.22704884936005,2341.8045797668137,2.31,21.04550986965451,25.1684,0.0
4740,2/2016,116.61883709637247,2294.378158373748,2.325,21.044859416164257,25.1152,0.0
4741,2/2016,114.02982407010218,2247.16885568538,2.34,21.0441275612555,25.062,0.0
4742,2/2016,111.51828360236078,2201.394628102452,2.3575,21.04331793852474,25.0099,0.0
4743,2/2016,109.02146676732713,2155.75566705363,2.375,21.042427543090085,24.9576,0.0
4744,2/2016,106.53386589887064,2110.1485079316626,2.3925,21.04145348510477,24.9051,0.0
4745,2/2016,104.0563608582434,2064.5894912978742,2.41,21.04039298006541,24.8524,0.0
4746,2/2016,101.5317765124678,2017.8803548740225,2.4250000000000003,21.03923653779583,24.7983,0.0
4747,2/2016,99.020403021263,1971.277926704632,2.4400000000000004,21.037981545426728,24.744,0.0
4748,2/2016,96.52262776473168,1924.7898763065716,2.455,21.036625496505227,24.6896,0.0
4749,2/2016,94.03030618647767,1878.260738018644,2.47,21.035165977244784,24.6348,0.0
4750,2/2016,93.0381777905904,1862.853908552744,2.545,21.03376422961522,24.6097,0.0
4751,2/2016,92.05829754103038,1847.5963090616028,2.62,21.03241918023712,24.5847,0.0
