,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
10291,10/2016,45.85883155664265,1043.052004225499,7.0,21.211131654315807,23.4374,False,1966.6,0.0
10292,10/2016,-4.355881917671661,-101.91559430601424,7.1175,21.212017070445768,22.3306,,1966.6,0.0
10293,10/2016,1.7215396930104865,40.26891430573082,7.234999999999999,21.212907686269816,22.4484,,1966.6,0.0
10294,10/2016,53.90483688645249,1231.360494525664,7.3525,21.213900503764197,23.5734,,1966.6,0.0
10295,10/2016,44.73313875324492,1029.202829119959,7.47,21.215064284619807,23.3728,False,1966.6,0.0
10296,10/2016,62.10801048014231,1420.2377016343296,7.585,21.216404465662038,23.7393,,1966.6,0.0
10297,10/2016,38.80503291246914,900.0213562683144,7.699999999999999,21.217910204997445,23.2356,,1966.6,0.0
10298,10/2016,41.00222039830167,952.374776835831,7.814999999999999,21.21954834737581,23.2765,,1966.6,0.0
10299,10/2016,168.78019563285432,3695.59466777034,7.93,21.221513377823648,25.8981,False,1966.6,0.0
10300,10/2016,-5.0827605446467246,-121.33750849235658,7.9925,21.22358012565876,22.2529,,1966.6,0.0
10301,10/2016,0.3119349936123655,7.438129881750274,8.055,21.225494657077675,22.3587,,1966.6,0.0
10302,10/2016,-0.3242743302420158,-7.747889060360404,8.1175,21.227272193145264,22.3279,,1966.6,0.0
10303,10/2016,407.6685963353499,8114.84966050691,8.18,21.229483836176687,30.0992,False,1966.6,0.0
10304,10/2016,64.27581997105649,1488.1721104070125,8.24,21.232206787783475,23.7979,,1966.6,0.0
10305,10/2016,101.3203959755848,2306.457182887389,8.3,21.23502857737277,24.5785,,1966.6,0.0
10306,10/2016,25.637955697590247,606.8640730133794,8.36,21.237885994345817,22.9516,,1966.6,0.0
10307,10/2016,45.85448756524548,1075.7956007297034,8.42,21.240696103418426,23.3899,False,1966.6,0.0
10308,10/2016,68.26884918098897,1585.842955251084,8.48,21.2435303749404,23.8717,,1966.6,0.0
10309,10/2016,88.314135674769,2033.7693810904063,8.54,21.246456394172725,24.2984,,1966.6,0.0
10310,10/2016,-0.4110321455778208,-9.9163611749203,8.6,21.249361833133744,22.3399,,1966.6,0.0
10311,10/2016,129.09208511645372,2922.623640875001,8.66,21.252313475838477,25.1356,False,1966.6,0.0
10312,10/2016,31.16446788605533,740.7438443157022,8.6725,21.25523355941742,23.0523,,1966.6,0.0
10313,10/2016,116.60972033453923,2657.228178404829,8.685,21.258107195974205,24.8803,,1966.6,0.0
10314,10/2016,88.12699047585436,2036.4607579093408,8.697500000000002,21.261024593519423,24.2917,,1966.6,0.0
10315,10/2016,31.14465496055812,740.8719392362153,8.71,21.26385191146013,23.0508,False,1966.6,0.0
10316,10/2016,34.007190681139804,808.1070588078119,8.72,21.266501603821897,23.1058,,1966.6,0.0
10317,10/2016,-1.11195551177176,-26.924965326171908,8.73,21.268926397767853,22.2965,,1966.6,0.0
10318,10/2016,-3.738467980929911,-90.70119594916544,8.74,21.27107238219156,22.2199,,1966.6,0.0
10319,10/2016,-6.78653332291431,-165.0142895423789,8.75,21.2729396312578,22.1329,False,1966.6,0.0
