,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
12640,11/2016,3.44277713963914,68.19680181576436,0.77,21.37125708873105,23.3323,False,1966.6,0.0
12641,11/2016,534.6353233230537,8619.285326284466,0.6900000000000001,21.36623253389158,31.4169,,1966.6,0.0
12642,11/2016,49.423144991921376,950.6426571137324,0.61,21.362708252866938,24.3671,,1966.6,0.0
12643,11/2016,11.40814995454682,224.0067968745496,0.53,21.35530165805132,23.4542,,1966.6,0.0
12644,11/2016,268.3633948351524,4738.847357066254,0.45,21.34710700783566,27.6213,False,1966.6,0.0
12645,11/2016,575.8179746247944,9074.742735194195,0.3725,21.343823706160173,31.9769,,1966.6,0.0
12646,11/2016,83.03917137487201,1556.7716844864967,0.295,21.34235836280955,25.0893,,1966.6,0.0
12647,11/2016,31.059762551075035,597.5358742087844,0.2175,21.337219012632627,23.9747,,1966.6,0.0
12648,11/2016,742.1345478714355,11047.831078942754,0.14,21.335244205604795,33.9264,False,1966.6,0.0
12649,11/2016,117.0597018960689,2143.1723386134736,0.0875,21.336462543172104,25.8305,,1966.6,0.0
12650,11/2016,467.3254647724357,7507.748037350997,0.035,21.338519379613484,30.898,,1966.6,0.0
12651,11/2016,56.03103818604805,1048.259693525012,-0.0175,21.34026023303311,24.8642,,1966.6,0.0
12652,11/2016,45.92111670127201,867.2839918567657,-0.07,21.337674629032904,24.4336,False,1966.6,0.0
12653,11/2016,823.3173032938444,11860.413514100694,-0.1225,21.338536612800567,34.9079,,1966.6,0.0
12654,11/2016,13.472648530531078,255.1641321744416,-0.175,21.34132020071621,24.2174,,1966.6,0.0
12655,11/2016,6.108116865414126,116.8792615889864,-0.2275,21.33858904227048,23.7528,,1966.6,0.0
12656,11/2016,60.44135406339882,1135.209374681462,-0.28,21.331736679021816,24.4479,False,1966.6,0.0
12657,11/2016,818.3624092016094,11801.030553975008,-0.3325,21.329019182687198,34.6553,,1966.6,0.0
12658,11/2016,1.8678115165593352,35.534850511213186,-0.385,21.32850501606839,23.8291,,1966.6,0.0
12659,11/2016,53.14388116046395,994.4990999296556,-0.4375,21.323343931692538,24.4383,,1966.6,0.0
12660,11/2016,-2.1989592928093127,-42.36645516146904,-0.49,21.31410990740349,23.2176,False,1966.6,0.0
12661,11/2016,4.0215218776356,78.07775557745876,-0.3225,21.301438237640284,23.0739,,1966.6,0.0
12662,11/2016,9.70007351361148,189.61525244129544,-0.155,21.286053008687865,22.9635,,1966.6,0.0
12663,11/2016,-0.1311845523619023,-2.5984760737200303,0.0124999999999999,21.26836535110484,22.5926,,1966.6,0.0
12664,11/2016,779.4460651128297,11638.118110592875,0.18,21.256416930919595,33.8525,True,1966.6,0.0
12665,11/2016,107.56848291251706,2018.4896554948505,0.3475,21.25012060079459,25.1041,,1966.6,0.0
12666,11/2016,39.73975468963103,773.5760911158271,0.5149999999999999,21.241978666982128,23.7911,,1966.6,0.0
12667,11/2016,436.2505295409875,7298.830709684909,0.6824999999999999,21.23588222310241,29.9684,,1966.6,0.0
12668,11/2016,5.112979935034428,101.5965710815848,0.85,21.230795061901407,23.2837,False,1966.6,0.0
12669,11/2016,11.047517908178149,221.14267034182572,1.02,21.222347637704107,23.1484,,1966.6,0.0
12670,11/2016,662.6919027450538,10421.519898021634,1.19,21.21791038536912,32.8745,,1966.6,0.0
12671,11/2016,91.7244149321243,1767.7554198909893,1.36,21.21742164679209,25.0197,,1966.6,0.0
12672,11/2016,158.1170637861686,2982.020996192764,1.53,21.215905857879264,26.0582,False,1966.6,0.0
12673,11/2016,559.9769877218445,9090.363596104558,1.5225,21.21786882251673,31.9738,,1966.6,0.0
12674,11/2016,819.0940964387934,12165.85036538402,1.515,21.228522288606328,35.3923,,1966.6,0.0
12675,11/2016,4.587273807376134,90.47137960273535,1.5075,21.24045720831326,24.227,,1966.6,0.0
12676,11/2016,659.7358041786015,10229.632874867128,1.5,21.252844431926807,33.7261,False,1966.6,0.0
12677,11/2016,-0.3265555814234875,-6.444892612080946,1.49,21.264995915507452,24.1817,,1966.6,0.0
12678,11/2016,10.27704589557498,203.69902448359065,1.48,21.27086887043731,23.9974,,1966.6,0.0
12679,11/2016,0.0382659694331924,0.7679713693792962,1.47,21.271388233356117,23.4791,,1966.6,0.0
12680,11/2016,5.549392011857872,111.850182753233,1.46,21.267299580582037,23.2943,False,1966.6,0.0
12681,11/2016,4.794364183675421,97.23132058408328,1.4525,21.2593530559667,23.0338,,1966.6,0.0
12682,11/2016,-0.1149759705822513,-2.349156788183092,1.4449999999999998,21.248050107952174,22.7212,,1966.6,0.0
